Freq.	V(n001)	Ix(U1:OUT)	Ix(U2:OUT)
1.00000000000000e-01	6.72564634685914e-06,-1.09359478269379e-12	5.09189780037372e-09,-4.02038921270070e-14	1.89228751463094e-10,1.29630020411688e-13
1.07977516232771e-01	6.72564634678867e-06,-1.06929684742120e-12	5.09189779649777e-09,-3.72764843802561e-14	1.89228770274382e-10,1.20051233405152e-13
1.16591440117983e-01	6.72564634672822e-06,-1.05130121164809e-12	5.09189779317336e-09,-3.45687791048871e-14	1.89228786408751e-10,1.11180009905956e-13
1.25892541179417e-01	6.72564634667637e-06,-1.03950181497315e-12	5.09189779032205e-09,-3.20648175973734e-14	1.89228800247137e-10,1.02964064986606e-13
1.35935639087853e-01	6.72564634663190e-06,-1.03382911614641e-12	5.09189778787648e-09,-2.97498419534645e-14	1.89228812116266e-10,9.53549756365224e-14
1.46779926762207e-01	6.72564634659376e-06,-1.03424968336613e-12	5.09189778577891e-09,-2.76102080958104e-14	1.89228822296371e-10,8.83078954043890e-14
1.58489319246111e-01	6.72564634656104e-06,-1.04076599736634e-12	5.09189778397986e-09,-2.56333053644679e-14	1.89228831027807e-10,8.17812901191487e-14
1.71132830416178e-01	6.72564634653298e-06,-1.05341646614234e-12	5.09189778243680e-09,-2.38074821967863e-14	1.89228838516725e-10,7.57366931206626e-14
1.84784979742229e-01	6.72564634650890e-06,-1.07227565140619e-12	5.09189778111332e-09,-2.21219774589414e-14	1.89228844939940e-10,7.01384785588952e-14
1.99526231496888e-01	6.72564634648825e-06,-1.09745470811051e-12	5.09189777997819e-09,-2.05668570245751e-14	1.89228850449106e-10,6.49536514498729e-14
2.15443469003188e-01	6.72564634647054e-06,-1.12910203963660e-12	5.09189777900457e-09,-1.91329552270624e-14	1.89228855174295e-10,6.01516532036834e-14
2.32630506715363e-01	6.72564634645534e-06,-1.16740417250853e-12	5.09189777816951e-09,-1.78118208403173e-14	1.89228859227070e-10,5.57041815427145e-14
2.51188643150958e-01	6.72564634644230e-06,-1.21258685579315e-12	5.09189777745328e-09,-1.65956672700166e-14	1.89228862703119e-10,5.15850236957967e-14
2.71227257933203e-01	6.72564634643111e-06,-1.26491639166681e-12	5.09189777683896e-09,-1.54773266617179e-14	1.89228865684512e-10,4.77699019055804e-14
2.92864456462524e-01	6.72564634642150e-06,-1.32470120499179e-12	5.09189777631206e-09,-1.44502076554435e-14	1.89228868241640e-10,4.42363303481886e-14
3.16227766016838e-01	6.72564634641325e-06,-1.39229366115508e-12	5.09189777586013e-09,-1.35082565378317e-14	1.89228870434879e-10,4.09634826099209e-14
3.41454887383360e-01	6.72564634640617e-06,-1.46809214288463e-12	5.09189777547251e-09,-1.26459215629389e-14	1.89228872316010e-10,3.79320689411161e-14
3.68694506451958e-01	6.72564634640009e-06,-1.55254339828412e-12	5.09189777514004e-09,-1.18581202314445e-14	1.89228873929449e-10,3.51242225618746e-14
3.98107170553497e-01	6.72564634639486e-06,-1.64614517392514e-12	5.09189777485487e-09,-1.11402093353843e-14	1.89228875313288e-10,3.25233943700938e-14
4.29866234708228e-01	6.72564634639035e-06,-1.74944914851802e-12	5.09189777461027e-09,-1.04879575919772e-14	1.89228876500201e-10,3.01142553953760e-14
4.64158883361278e-01	6.72564634638648e-06,-1.86306418445071e-12	5.09189777440047e-09,-9.89752070518792e-15	1.89228877518211e-10,2.78826064563047e-14
5.01187233627272e-01	6.72564634638313e-06,-1.98765991636071e-12	5.09189777422050e-09,-9.36541870806531e-15	1.89228878391353e-10,2.58152944842803e-14
5.41169526546464e-01	6.72564634638024e-06,-2.12397069789285e-12	5.09189777406613e-09,-8.88851545245653e-15	1.89228879140243e-10,2.39001349728521e-14
5.84341413373518e-01	6.72564634637773e-06,-2.27279992990033e-12	5.09189777393370e-09,-8.46400012494744e-15	1.89228879782562e-10,2.21258401981474e-14
6.30957344480193e-01	6.72564634637555e-06,-2.43502479560440e-12	5.09189777382011e-09,-8.08937068041179e-15	1.89228880333476e-10,2.04819526677885e-14
6.81292069057961e-01	6.72564634637364e-06,-2.61160143061755e-12	5.09189777372264e-09,-7.76241909529917e-15	1.89228880805991e-10,1.89587834947161e-14
7.35642254459641e-01	6.72564634637196e-06,-2.80357055830299e-12	5.09189777363901e-09,-7.48121835384303e-15	1.89228881211264e-10,1.75473552980473e-14
7.94328234724282e-01	6.72564634637047e-06,-3.01206362368623e-12	5.09189777356725e-09,-7.24411109055164e-15	1.89228881558864e-10,1.62393492715067e-14
8.57695898590894e-01	6.72564634636913e-06,-3.23830946206788e-12	5.09189777350564e-09,-7.04969982186510e-15	1.89228881856997e-10,1.50270561753420e-14
9.26118728128794e-01	6.72564634636792e-06,-3.48364154164528e-12	5.09189777345277e-09,-6.89683870959537e-15	1.89228882112703e-10,1.39033308919720e-14
1.00000000000000e+00	6.72564634636680e-06,-3.74950582282826e-12	5.09189777340736e-09,-6.78462680749589e-15	1.89228882332019e-10,1.28615503189967e-14
1.07977516232771e+00	6.72564634636575e-06,-4.03746928057380e-12	5.09189777336833e-09,-6.71240275131386e-15	1.89228882520122e-10,1.18955742928001e-14
1.16591440117983e+00	6.72564634636474e-06,-4.34922913996098e-12	5.09189777333478e-09,-6.67974086057667e-15	1.89228882681455e-10,1.09997094833063e-14
1.25892541179417e+00	6.72564634636375e-06,-4.68662287945424e-12	5.09189777330591e-09,-6.68644862992512e-15	1.89228882819826e-10,1.01686757504426e-14
1.35935639087853e+00	6.72564634636276e-06,-5.05163906079800e-12	5.09189777328104e-09,-6.73256559438975e-15	1.89228882938502e-10,9.39757507245061e-15
1.46779926762207e+00	6.72564634636173e-06,-5.44642904938248e-12	5.09189777325958e-09,-6.81836356244961e-15	1.89228883040285e-10,8.68186266451190e-15
1.58489319246111e+00	6.72564634636066e-06,-5.87331969415488e-12	5.09189777324101e-09,-6.94434821799431e-15	1.89228883127579e-10,8.01732021289394e-15
1.71132830416178e+00	6.72564634635950e-06,-6.33482704181405e-12	5.09189777322492e-09,-7.11126210087669e-15	1.89228883202444e-10,7.40003097446676e-15
1.84784979742229e+00	6.72564634635824e-06,-6.83367116611421e-12	5.09189777321091e-09,-7.32008898336526e-15	1.89228883266648e-10,6.82635669208432e-15
1.99526231496888e+00	6.72564634635685e-06,-7.37279219967881e-12	5.09189777319865e-09,-7.57205966823071e-15	1.89228883321706e-10,6.29291621259041e-15
2.15443469003188e+00	6.72564634635529e-06,-7.95536766282366e-12	5.09189777318787e-09,-7.86865924315793e-15	1.89228883368920e-10,5.79656548620081e-15
2.32630506715363e+00	6.72564634635353e-06,-8.58483119151098e-12	5.09189777317830e-09,-8.21163583354682e-15	1.89228883409402e-10,5.33437909061059e-15
2.51188643150958e+00	6.72564634635152e-06,-9.26489277482731e-12	5.09189777316971e-09,-8.60301090597218e-15	1.89228883444111e-10,4.90363291421769e-15
2.71227257933203e+00	6.72564634634922e-06,-9.99956062124596e-12	5.09189777316191e-09,-9.04509118211579e-15	1.89228883473863e-10,4.50178824052724e-15
2.92864456462524e+00	6.72564634634657e-06,-1.07931647825774e-11	5.09189777315469e-09,-9.54048223480688e-15	1.89228883499364e-10,4.12647660655773e-15
3.16227766016838e+00	6.72564634634351e-06,-1.16503826748135e-11	5.09189777314791e-09,-1.00921038446136e-14	1.89228883521213e-10,3.77548598287680e-15
3.41454887383360e+00	6.72564634633996e-06,-1.25762666463112e-11	5.09189777314141e-09,-1.07032072090456e-14	1.89228883539927e-10,3.44674760991707e-15
3.68694506451958e+00	6.72564634633586e-06,-1.35762737557682e-11	5.09189777313500e-09,-1.13773941041068e-14	1.89228883555949e-10,3.13832404970249e-15
3.98107170553497e+00	6.72564634633108e-06,-1.46562979355472e-11	5.09189777312857e-09,-1.21186381137361e-14	1.89228883569656e-10,2.84839740251040e-15
4.29866234708228e+00	6.72564634632554e-06,-1.58227047298521e-11	5.09189777312195e-09,-1.29313080488623e-14	1.89228883581371e-10,2.57525889894799e-15
4.64158883361278e+00	6.72564634631908e-06,-1.70823688125559e-11	5.09189777311498e-09,-1.38201936970849e-14	1.89228883591372e-10,2.31729868273313e-15
5.01187233627272e+00	6.72564634631156e-06,-1.84427145057704e-11	5.09189777310749e-09,-1.47905340529075e-14	1.89228883599895e-10,2.07299641653837e-15
5.41169526546464e+00	6.72564634630281e-06,-1.99117595379953e-11	5.09189777309932e-09,-1.58480481962194e-14	1.89228883607141e-10,1.84091216253787e-15
5.84341413373518e+00	6.72564634629262e-06,-2.14981622997269e-11	5.09189777309027e-09,-1.69989689996830e-14	1.89228883613281e-10,1.61967798705596e-15
6.30957344480193e+00	6.72564634628074e-06,-2.32112728750574e-11	5.09189777308015e-09,-1.82500798642620e-14	1.89228883618459e-10,1.40799002637295e-15
