r	V(amp_out)	V(sensor_out)	V(output)
3.020000000000000e+03	-7.214108e-01	-2.411571e-12	-7.197331e-01
3.536000000000000e+03	-7.218173e-01	-2.417673e-12	-7.197331e-01
4.160000000000000e+03	-7.222007e-01	-2.423603e-12	-7.197331e-01
4.911000000000000e+03	-7.225551e-01	-2.429243e-12	-7.197331e-01
5.827000000000000e+03	-7.228822e-01	-2.434590e-12	-7.197331e-01
6.940000000000000e+03	-7.231783e-01	-2.439555e-12	-7.197331e-01
8.313000000000000e+03	-7.234463e-01	-2.444155e-12	-7.197331e-01
1.000000000000000e+04	-7.236841e-01	-2.448326e-12	-7.197331e-01
1.209000000000000e+04	-7.238939e-01	-2.452077e-12	-7.197331e-01
1.496000000000000e+04	-7.240925e-01	-2.455694e-12	-7.197331e-01
1.796000000000000e+04	-7.242360e-01	-2.458345e-12	-7.197331e-01
